INFO  - 2013-12-09 23:03:35.597; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-09 23:03:35.603; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-09 23:03:35.717; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-12-09 23:03:35.722; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/xinghao/Downloads/solr-4.6.0/example/solr/collection1/, dataDir=/Users/xinghao/Downloads/solr-4.6.0/example/solr/collection1/data/
INFO  - 2013-12-09 23:03:35.723; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2013-12-09 23:03:35.727; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-12-09 23:03:35.727; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-12-09 23:03:35.736; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/xinghao/Downloads/solr-4.6.0/example/solr/collection1/data
INFO  - 2013-12-09 23:03:35.737; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/xinghao/Downloads/solr-4.6.0/example/solr/collection1/data/index/
WARN  - 2013-12-09 23:03:35.737; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/xinghao/Downloads/solr-4.6.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2013-12-09 23:03:35.742; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/xinghao/Downloads/solr-4.6.0/example/solr/collection1/data/index
INFO  - 2013-12-09 23:03:35.775; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/xinghao/Downloads/solr-4.6.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@5e6e3fe4; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-12-09 23:03:35.775; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-12-09 23:03:35.779; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-12-09 23:03:35.779; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-12-09 23:03:35.779; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-12-09 23:03:35.782; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-12-09 23:03:35.782; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-12-09 23:03:35.854; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2013-12-09 23:03:35.861; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-12-09 23:03:35.861; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-12-09 23:03:35.862; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-12-09 23:03:35.862; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2013-12-09 23:03:35.864; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
WARN  - 2013-12-09 23:03:35.875; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.JsonUpdateRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2013-12-09 23:03:35.875; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
WARN  - 2013-12-09 23:03:35.877; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.CSVRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2013-12-09 23:03:35.877; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-12-09 23:03:35.877; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-12-09 23:03:35.877; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-12-09 23:03:35.878; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-12-09 23:03:35.878; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-12-09 23:03:35.878; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-12-09 23:03:35.878; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-12-09 23:03:35.880; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-12-09 23:03:35.881; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-12-09 23:03:35.883; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-12-09 23:03:35.889; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-12-09 23:03:35.889; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-09 23:03:35.889; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-12-09 23:03:35.890; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-09 23:03:35.890; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2013-12-09 23:03:35.890; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-12-09 23:03:35.890; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-12-09 23:03:35.890; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-09 23:03:35.890; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2013-12-09 23:03:35.890; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
